variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct
baseline,valid,overall,248,12,7.422426334882697,6.626754530254489
baseline,valid,jan_feb,38,2,5.579106495134633,3.569002011098118
baseline,valid,spring_festival_month,38,2,5.579106495134633,3.569002011098118
baseline,valid,high_nonworkday_month,56,3,6.911400540892886,7.236406684860037
baseline,valid,wd1_5,60,12,8.084677485972055,7.34351037544413
baseline,valid,wd1_10,120,12,7.980121732260401,7.028114978236928
baseline,valid,jan_feb_wd1_10,20,2,7.077448985808353,3.5048932392182444
baseline,valid,spring_wd1_10,20,2,7.077448985808353,3.5048932392182444
baseline,test,overall,80,4,14.940562347198343,12.746575046595964
baseline,test,jan_feb,37,2,13.47682153288237,12.787245890825687
baseline,test,spring_festival_month,16,1,10.714613015252883,10.77440457466415
baseline,test,high_nonworkday_month,16,1,10.714613015252883,10.77440457466415
baseline,test,wd1_5,20,4,15.361996498625825,14.663759100926727
baseline,test,wd1_10,40,4,15.357152044390187,14.663759100926727
baseline,test,jan_feb_wd1_10,20,2,13.710941647755709,14.056966817112794
baseline,test,spring_wd1_10,10,1,10.53208971624915,10.810449012309887
calendar_all,valid,overall,248,12,7.2616925799911565,6.432302116832887
calendar_all,valid,jan_feb,38,2,5.726463836826375,6.443538969616459
calendar_all,valid,spring_festival_month,38,2,5.726463836826375,6.443538969616459
calendar_all,valid,high_nonworkday_month,56,3,5.663078786221699,6.434988289549526
calendar_all,valid,wd1_5,60,12,7.704133029866337,6.300244694912514
calendar_all,valid,wd1_10,120,12,7.729604371718771,6.594878660454231
calendar_all,valid,jan_feb_wd1_10,20,2,7.791483153422344,6.683161626225927
calendar_all,valid,spring_wd1_10,20,2,7.791483153422344,6.683161626225927
calendar_all,test,overall,80,4,13.102896691853164,11.545715018177741
calendar_all,test,jan_feb,37,2,12.234920636248901,11.704898517442842
calendar_all,test,spring_festival_month,16,1,9.168533968617098,8.831197126932544
calendar_all,test,high_nonworkday_month,16,1,9.168533968617098,8.831197126932544
calendar_all,test,wd1_5,20,4,13.004862933931218,12.159791027883749
calendar_all,test,wd1_10,40,4,13.230798238840901,12.159791027883749
calendar_all,test,jan_feb_wd1_10,20,2,12.156043793978421,12.159791027883749
calendar_all,test,spring_wd1_10,10,1,8.626478433538267,8.60339914572291
single__target_month_workdays,valid,overall,248,12,7.1759778297055785,5.505986809391888
single__target_month_workdays,valid,jan_feb,38,2,6.3622704534044,5.505986809391888
single__target_month_workdays,valid,spring_festival_month,38,2,6.3622704534044,5.505986809391888
single__target_month_workdays,valid,high_nonworkday_month,56,3,6.2726062907309545,5.559425186619247
single__target_month_workdays,valid,wd1_5,60,12,7.738792548462441,6.096970249975129
single__target_month_workdays,valid,wd1_10,120,12,7.7291904084220615,6.096970249975129
single__target_month_workdays,valid,jan_feb_wd1_10,20,2,8.140791723865707,5.742454690309504
single__target_month_workdays,valid,spring_wd1_10,20,2,8.140791723865707,5.742454690309504
single__target_month_workdays,test,overall,80,4,12.30453495512515,11.545715018177741
single__target_month_workdays,test,jan_feb,37,2,9.376588617924895,11.704898517442842
single__target_month_workdays,test,spring_festival_month,16,1,4.090980751394904,3.8576454954115924
single__target_month_workdays,test,high_nonworkday_month,16,1,4.090980751394904,3.8576454954115924
single__target_month_workdays,test,wd1_5,20,4,11.978486426071866,11.951300596297646
single__target_month_workdays,test,wd1_10,40,4,12.210994175328466,11.951300596297646
single__target_month_workdays,test,jan_feb_wd1_10,20,2,9.024630226491004,9.629326645477185
single__target_month_workdays,test,spring_wd1_10,10,1,3.7486666877595836,3.790473744588225
single__target_month_nonworkdays,valid,overall,248,12,7.569127842946942,5.2595973566266085
single__target_month_nonworkdays,valid,jan_feb,38,2,5.562792463718266,7.276874679870526
single__target_month_nonworkdays,valid,spring_festival_month,38,2,5.562792463718266,7.276874679870526
single__target_month_nonworkdays,valid,high_nonworkday_month,56,3,5.160395545989209,5.699675035862045
single__target_month_nonworkdays,valid,wd1_5,60,12,7.981402941755902,5.585734614600156
single__target_month_nonworkdays,valid,wd1_10,120,12,7.858371488167061,5.476391094553934
single__target_month_nonworkdays,valid,jan_feb_wd1_10,20,2,6.678997126311297,8.24844563310507
single__target_month_nonworkdays,valid,spring_wd1_10,20,2,6.678997126311297,8.24844563310507
single__target_month_nonworkdays,test,overall,80,4,11.974940744958952,11.545715018177741
single__target_month_nonworkdays,test,jan_feb,37,2,9.150241354907855,11.704898517442842
single__target_month_nonworkdays,test,spring_festival_month,16,1,0.7786983611188372,0.38750732454250736
single__target_month_nonworkdays,test,high_nonworkday_month,16,1,0.7786983611188372,0.38750732454250736
single__target_month_nonworkdays,test,wd1_5,20,4,11.569736287630658,13.096935982253402
single__target_month_nonworkdays,test,wd1_10,40,4,11.764980242087507,13.096935982253402
single__target_month_nonworkdays,test,jan_feb_wd1_10,20,2,8.52009639759385,8.331214416440664
single__target_month_nonworkdays,test,spring_wd1_10,10,1,0.2539695628849789,0.2692675610584413
single__target_month_weekend_days,valid,overall,248,12,7.631346222013755,6.333201132652722
single__target_month_weekend_days,valid,jan_feb,38,2,6.755434674039826,5.14219839498433
single__target_month_weekend_days,valid,spring_festival_month,38,2,6.755434674039826,5.14219839498433
single__target_month_weekend_days,valid,high_nonworkday_month,56,3,6.167941538123742,5.508111233365934
single__target_month_weekend_days,valid,wd1_5,60,12,8.17935781111223,6.343222898099167
single__target_month_weekend_days,valid,wd1_10,120,12,8.140068592949408,6.343222898099167
single__target_month_weekend_days,valid,jan_feb_wd1_10,20,2,8.052204385469492,4.735475251134137
single__target_month_weekend_days,valid,spring_wd1_10,20,2,8.052204385469492,4.735475251134137
single__target_month_weekend_days,test,overall,80,4,14.269664919015915,12.311596066733408
single__target_month_weekend_days,test,jan_feb,37,2,11.787384047520241,11.704898517442842
single__target_month_weekend_days,test,spring_festival_month,16,1,8.72399158663297,8.8693018707202
single__target_month_weekend_days,test,high_nonworkday_month,16,1,8.72399158663297,8.8693018707202
single__target_month_weekend_days,test,wd1_5,20,4,14.381415508354001,13.547709457499792
single__target_month_weekend_days,test,wd1_10,40,4,14.597497451143255,13.547709457499792
single__target_month_weekend_days,test,jan_feb_wd1_10,20,2,11.915435674673137,12.12491401268063
single__target_month_weekend_days,test,spring_wd1_10,10,1,8.687389274673395,8.877042632903542
single__target_month_lunar_holiday_days,valid,overall,248,12,7.2607682220230645,6.715599179935486
single__target_month_lunar_holiday_days,valid,jan_feb,38,2,4.9037330898375044,3.1912641216180417
single__target_month_lunar_holiday_days,valid,spring_festival_month,38,2,4.9037330898375044,3.1912641216180417
single__target_month_lunar_holiday_days,valid,high_nonworkday_month,56,3,6.475919350454172,6.811978720415157
single__target_month_lunar_holiday_days,valid,wd1_5,60,12,7.817053839711476,7.244264609062429
single__target_month_lunar_holiday_days,valid,wd1_10,120,12,7.805443553566066,6.930757291195986
single__target_month_lunar_holiday_days,valid,jan_feb_wd1_10,20,2,6.594845474193798,3.550245379926917
single__target_month_lunar_holiday_days,valid,spring_wd1_10,20,2,6.594845474193798,3.550245379926917
single__target_month_lunar_holiday_days,test,overall,80,4,14.761650986865334,12.944469965876674
single__target_month_lunar_holiday_days,test,jan_feb,37,2,13.001603950228112,12.355737547541764
single__target_month_lunar_holiday_days,test,spring_festival_month,16,1,10.598135041694864,10.676712255901629
single__target_month_lunar_holiday_days,test,high_nonworkday_month,16,1,10.598135041694864,10.676712255901629
single__target_month_lunar_holiday_days,test,wd1_5,20,4,14.991635353114825,14.279762701888021
single__target_month_lunar_holiday_days,test,wd1_10,40,4,15.0902871457718,14.279762701888021
single__target_month_lunar_holiday_days,test,jan_feb_wd1_10,20,2,13.139145226649537,13.277279839643043
single__target_month_lunar_holiday_days,test,spring_wd1_10,10,1,10.283988738710383,10.377890541144444
single__target_month_spring_festival_core_days,valid,overall,248,12,7.25944820487003,6.715599179935486
single__target_month_spring_festival_core_days,valid,jan_feb,38,2,4.912700213828952,3.2019819554337117
single__target_month_spring_festival_core_days,valid,spring_festival_month,38,2,4.912700213828952,3.2019819554337117
single__target_month_spring_festival_core_days,valid,high_nonworkday_month,56,3,6.461694903692743,6.7941245592367325
single__target_month_spring_festival_core_days,valid,wd1_5,60,12,7.808945230004373,7.237548456617159
single__target_month_spring_festival_core_days,valid,wd1_10,120,12,7.802426050388243,6.917324986305447
single__target_month_spring_festival_core_days,valid,jan_feb_wd1_10,20,2,6.607329399968213,3.506047708283412
single__target_month_spring_festival_core_days,valid,spring_wd1_10,20,2,6.607329399968213,3.506047708283412
single__target_month_spring_festival_core_days,test,overall,80,4,14.76220370261031,12.952122783106653
single__target_month_spring_festival_core_days,test,jan_feb,37,2,13.00017943728637,12.355737547541764
single__target_month_spring_festival_core_days,test,spring_festival_month,16,1,10.584102200680407,10.6557576735519
single__target_month_spring_festival_core_days,test,high_nonworkday_month,16,1,10.584102200680407,10.6557576735519
single__target_month_spring_festival_core_days,test,wd1_5,20,4,14.99488229014555,14.279762701888021
single__target_month_spring_festival_core_days,test,wd1_10,40,4,15.091289886037128,14.279762701888021
single__target_month_spring_festival_core_days,test,jan_feb_wd1_10,20,2,13.136735752391408,13.290744605625763
single__target_month_spring_festival_core_days,test,spring_wd1_10,10,1,10.269918026027144,10.36741324996958
single__target_month_spring_festival_days,valid,overall,248,12,7.3825707018233,6.715599179935486
single__target_month_spring_festival_days,valid,jan_feb,38,2,5.716236509734505,3.888982658846941
single__target_month_spring_festival_days,valid,spring_festival_month,38,2,5.716236509734505,3.888982658846941
single__target_month_spring_festival_days,valid,high_nonworkday_month,56,3,6.461694903692743,6.7941245592367325
single__target_month_spring_festival_days,valid,wd1_5,60,12,7.904038271650461,7.237548456617159
single__target_month_spring_festival_days,valid,wd1_10,120,12,7.927024650685436,6.917324986305447
