variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct,baseline_mean_mape_pct,mape_improvement_pct_point
single__target_month_nonworkdays,test,spring_festival_month,16,1,0.7786983611188372,0.38750732454250736,10.714613015252883,9.935914654134047
single__target_month_nonworkdays,test,high_nonworkday_month,16,1,0.7786983611188372,0.38750732454250736,10.714613015252883,9.935914654134047
single__target_month_nonworkdays,test,wd1_5,20,4,11.569736287630658,13.096935982253402,15.361996498625825,3.792260210995167
single__target_month_nonworkdays,test,wd1_10,40,4,11.764980242087507,13.096935982253402,15.357152044390187,3.59217180230268
single__target_month_nonworkdays,test,jan_feb_wd1_10,20,2,8.52009639759385,8.331214416440664,13.710941647755709,5.190845250161859
single__target_month_nonworkdays,test,spring_wd1_10,10,1,0.2539695628849789,0.2692675610584413,10.53208971624915,10.27812015336417
single__target_month_weekend_days,valid,overall,248,12,7.631346222013755,6.333201132652722,7.422426334882697,-0.20891988713105736
single__target_month_weekend_days,valid,jan_feb,38,2,6.755434674039826,5.14219839498433,5.579106495134633,-1.1763281789051927
single__target_month_weekend_days,valid,spring_festival_month,38,2,6.755434674039826,5.14219839498433,5.579106495134633,-1.1763281789051927
single__target_month_weekend_days,valid,high_nonworkday_month,56,3,6.167941538123742,5.508111233365934,6.911400540892886,0.7434590027691437
single__target_month_weekend_days,valid,wd1_5,60,12,8.17935781111223,6.343222898099167,8.084677485972055,-0.09468032514017466
single__target_month_weekend_days,valid,wd1_10,120,12,8.140068592949408,6.343222898099167,7.980121732260401,-0.15994686068900688
single__target_month_weekend_days,valid,jan_feb_wd1_10,20,2,8.052204385469492,4.735475251134137,7.077448985808353,-0.9747553996611398
single__target_month_weekend_days,valid,spring_wd1_10,20,2,8.052204385469492,4.735475251134137,7.077448985808353,-0.9747553996611398
single__target_month_weekend_days,test,overall,80,4,14.269664919015915,12.311596066733408,14.940562347198343,0.6708974281824283
single__target_month_weekend_days,test,jan_feb,37,2,11.787384047520241,11.704898517442842,13.47682153288237,1.689437485362129
